Title,Description,ImageUrl,Link,Date,Type
UN Global Compact Annual Report,This Annual Report is intended to provide our stakeholders and the public with an overview of the progress of the UN Global Compact across key strategic and operational focus areas as well as to highlight key activities undertaken and resources created to promote business action on UN issues and priorities. The inclusion of company examples in this report is intended strictly for learning purposes and does not constitute an endorsement of the individual companies.,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5221/show@2x/UN_GLOBAL_COMPACT_2022_ANNUAL_REPORT_COVER_Page_01.jpg?1680712556,/library/5221,2022-01-01,Report
SDG Ambition Benchmark Reference Sheets,"The SDG Ambition Benchmark Reference Sheets provide illustrative details regarding the steps to integrate each of the SDG Ambition Benchmarks into a company’s business systems, as well as the key design decisions required to engage technology partners.  Access the 10 reference sheets by filling out the form below. ",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5790/show@2x/SDG_Ambition_benchmark_reference_sheets.png?1600722863,/library/5790,2022-01-01,Report
Advancing Gender Equality on International Women's Day and Every Other Day,"Every year on 8 March, many companies take the occasion of International Women’s Day (IWD) to celebrate women in their workforce. This document aims to provide recommendations on how to meaningfully leverage IWD to advance gender equality and move the needle for women and girls. These recommendations are applicable for every day.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6045/show@2x/wep_cover.PNG?1643819366,/library/6045,2022-01-01,Report
Corporate Net Zero Pathway - Delivering the Paris Agreement and the Sustainable Development Goals,"A just transition to a net zero future is an important undertaking, requiring bold actions from all parties — and effort from corporates is definitely an important one. The UN Global Compact helps businesses to align with its Ten Principles and the UN Sustainable Development Goals (SDGs) and has published this whitepaper to plot a roadmap for corporates to reach net zero, facilitating the private sector to play its role in the pathway.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6046/show@2x/corporate_pathways_cover.PNG?1645824079,/library/6046,2022-01-01,Policy Document
Ukraine Humanitarian Crisis Business Guide,"The UN Global Compact partnered with the UN Office for the Coordination of Humanitarian Affairs (OCHA) on a Business Guide to urgently respond to Ukraine’s humanitarian crisis. The Guide provides concrete action for businesses to support the Secretary-General’s three-month Flash Appeal for people in Ukraine, and a Regional Refugee Response Plan for the situation outside, under the leadership of the UN High Commissioner for Refugees.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6047/show@2x/ukr_crisis.PNG?1646245773,/library/6047,2022-01-01,Report
Women’s Empowerment and Business 2022 Trends and Opportunities: Progress Amid Pandemic Challenges Across Regions,"This report examines the aggregate results of companies using the Women's Empowerment Principles Gender Gap Analysis Tool with an aim to provide insights on global and regional corporate performance on gender equality and showcase the efforts of partners and other stakeholders to drive women's empowerment around the world. The report concludes that while some progress has been made on advancing gender equality across regions and across issues, there is a need for more accelerated, urgent, impactful action across the board. This report is available in English, French, German, Chinese, Spanish and Portuguese.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6048/show@2x/weps_tool_cover.PNG?1646693905,/library/6048,2022-01-01,Meeting Report
SME Engagement Strategy,"SMEs are the engine of private sector growth, both in developing and developed economies, and are critical to the fulfilment of the Global Goals. Their per capita contribution may be smaller than that of larger firms, but the cumulative impact of SMEs is significant. The following vision articulates the ambition of fostering meaningful engagement by the UN Global Compact with SMEs at a global scale via the Local Networks. It serves as an aspirational long-term vision, linked to the corporate strategy of the UN Global Compact, towards which this strategic plan as well as future iterations will be directed.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6049/show@2x/sme_strategy.PNG?1647036520,/library/6049,2022-01-01,Report
Setting Science-Based Targets in the Seafood Sector: Best Practices to Date,"  This guide is a collection of best practices, common challenges, solutions and experiences from the seafood sector to support companies to set a science-based emission reduction target with the Science-Based Targets Initiative (SBTi). As the seafood sector works towards a low carbon and sustainable future, collective action across geographies and supply chains will be key to reaching these goals.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6050/show@2x/seaweed_cover.PNG?1648488027,/library/6050,2022-01-01,Report
Business & Human Rights Navigator,"Guides companies around the world to better understand and address human rights impacts in their operations and supply chains. Users can access in-depth analysis of key human rights issues, due diligence recommendations, as well as case studies illustrating how other businesses have responsibly addressed human rights impacts.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6051/show@2x/bhr_cover.PNG?1648499527,/library/6051,2022-01-01,Website
UN Global Compact China Strategy,The UN Global Compact China Strategy aims to accelerate and scale the global collective impact of Chinese businesses by upholding the Ten Principles of the UN Global Compact in delivering the Sustainable Development Goals.,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6052/show@2x/china_strategy_cover.PNG?1654028999,/library/6052,2022-01-01,Report
Charting the Course: Embedding children’s rights in responsible business conduct,"  2022 marks the 10-year anniversary of the Children’s Rights and Business Principles developed jointly by UNICEF, UN Global Compact and Save the Children in consultation with children, businesses, investors, governments, civil society, trade unions, national human rights institutions and United Nations entities. The joint Brief “Charting the Course: Embedding children’s rights in responsible business conduct” summarizes the findings of a more detailed forthcoming report by the three organizations and aims to chart the course for the coming years. Impact at scale is yet to be achieved to put child rights at the heart of corporate sustainability, the time has come to raise the bar towards making business fit for children.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6053/show@2x/Charting_the_course.PNG?1654100074,/library/6053,2022-01-01,Report
The Net-Zero Standard,"The number of businesses committing to net-zero emissions is rapidly growing, but not all net-zero targets are created equal. Without adhering to a common definition, net-zero targets can be inconsistent, and their collective impact limited.Responding to the pressing need for a common understanding of “net zero” in a corporate context, the Net-Zero Standard offers the world's first framework for corporate net-zero target setting in line with climate science.In this 20-minute, interactive e-learning course delivered by the UN Global Compact Academy and the Science Based Targets initiative, you will: Discover how the Net-Zero Standard provides a common, robust, and science-based understanding of net-zero Receive guidance on how to set science-based net-zero targets consistent with limiting global temperature rise to 1.5°C Align your company's near- and long-term targets with climate science New to science-based targets? This e-learning course requires a basic understanding of science-based targets and a familiarity with the Science Based Targets initiative. If you're new to this topic, we recommend the Academy foundations course, Setting science-based targets.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6054/show@2x/Screenshot_2022-06-28_115402.png?1656431651,/library/6054,2022-01-01,Website
ABLC Roundtable Perspectives: Making Ambitious Climate Mitigation Action a Reality in Africa,"This publication highlights how African businesses can accelerate the sustainable development of their economies while making critical contributions to advance climate action, and includes key insights from CEOs on making low-carbon development a reality in Africa.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6055/show@2x/Making_Ambitious_Climate_Mitigation_Action_a_Reality_in_Africa_ABLC_Roundtable_Perspectives_Page_1.jpg?1659635525,/library/6055,2022-01-01,Report
Financing Climate Action in Africa,"This publication highlights the collaborative and creative steps governments, multilaterals and private financers may need to take in order to reduce the funding gap and increase the flows of climate finance in Africa, and includes insights from the Africa Business Leaders Coalition (ABLC) roundtable discussion on business-led climate action, which took place in Casablanca in July 2022.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6056/show@2x/Financing_Climate_Action_in_Africa_ABLC_Roundtable_Perspectives_Cover_Image.jpg?1659556165,/library/6056,2022-01-01,Meeting Report
Shifting the Focus to Adaptation and Resilience in Africa,"  This publication highlights how African businesses can meaningfully engage in adaptation and resilience planning that benefits both the company and the broader community and includes insights from the Africa Business Leaders Coalition (ABLC) roundtable discussion on business-led climate action, which took place in Lagos in July 2022.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6058/show@2x/cover-shifting.png?1659632336,/library/6058,2022-01-01,Report
Delivering on the Promise of a Just Transition in Africa,"This publication highlights how companies in Africa can prioritize initiatives and restructure business models to support a just transition. Read this roundtable perspective to identify ways businesses can take relevant, meaningful and outcome-oriented action to recognize impact and facilitate inclusive and sustainable economies in Africa. ",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6059/show@2x/Delivering_on_the_Promise_of_a_Just_Transition_in_Africa_Cover_Page.jpg?1660325943,/library/6059,2022-01-01,Report
Elevating African Business Leaders’ Call for Global Collective Action,This publication highlights the joint actions public and private institutions can take to improve coordination of climate action projects in Africa. Read this roundtable perspective to learn the ways African businesses can help shape the conversations around sustainable development by leveraging their expertise and experience.,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6092/show@2x/ABLC_Perspectives-Collective_Action_Page_1.jpg?1661371700,/library/6092,2022-01-01,Report
Introduction to Just Transition: A Business Brief,"As we confront the climate crisis, what is the role of business in ensuring a just transition? In this business brief, the UN Global Compact lays out a vision to ensure the move to net-zero emissions and climate resilience is orderly, inclusive and just—and creates decent work opportunities, leaving no one behind. Created in collaboration with the UN Global Compact Think Lab on Just Transition, this business brief provides an introduction to the role of business in supporting a just transition. The business brief is available in English, Korean and Spanish.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6093/show@2x/intro_brief_cover.png?1662651512,/library/6093,2022-01-01,Report
A Path Forward: 5 Key Elements to Drive Climate Action in Africa,"This publication provides an overview of the five key topics discussed at the ABLC roundtables in July and August 2022. Each section focuses on one of the five most pressing climate issues facing the African continent, along with insights from the CEOs and executives in attendance. The concluding section lays out a series of 14 questions that leaders must consider as they look at Climate Action both within their own organizations and externally.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6094/show@2x/A_Path_Forward_5_Key_Elements_to_Drive_Climate_Action_Cover.png?1663344550,/library/6094,2022-01-01,Report
Applying a Gender Lens to Sustainable Procurement,This addition to the Decent Work for Sustainable Procurement Toolkit is an overview for buyers on why it is important to include a gender lens to procurement strategies and practices. It provides a practical step-by-step guide on how buyers can advance gender equality and promote non-discrimination through procurement decisions and explains the business benefits of sourcing from women-owned or gender-responsive businesses.  ,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6095/show@2x/Screen_Shot_2022-09-30_at_1.27.51_PM.png?1664560893,/library/6095,2022-01-01,Website
Bridging the Gap in the Arab States: Emerging Private Sector Response and Recovery Measures for Gender Equality amid COVID-19,"This publication showcases examples of good practices from a growing number of businesses in the Arab States that are taking gender-responsive action to ensure the economic inclusion and social well-being of their employees, customers and suppliers, as well as local communities. As a regional companion piece to the global publication of UN Women and IFC ‘Bridging the Gap - Emerging Private Sector Response and Recovery Measures for Gender Equality amid COVID-19 (2020)’, this regional report aims to inform companies in the Arab region and around the world on emerging practices and initiatives for supporting women leaders, employees, entrepreneurs and those in value chains amid the COVID-19 pandemic.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6096/show@2x/coverphoto.PNG?1666797487,/library/6096,2022-01-01,Report
CHARTING THE COURSE: Embedding children’s rights in responsible business conduct,"2022 marks the 10-year anniversary of the Children’s Rights and Business Principles developed jointly by UNICEF, UN Global Compact and Save the Children in consultation with children, businesses, investors, governments, civil society, trade unions, national human rights institutions and United Nations entities. The joint report “Charting the Course: Embedding children’s rights in responsible business conduct” elaborates key achievements and main gaps that need to be addressed to accelerate impact for children through business action and policy decisions. The report lays the foundation for raising the bar towards making business fit for children.  ",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6097/show@2x/chartingcoursecover.PNG?1666805941,/library/6097,2022-01-01,Report
The African Business Leaders' Climate Statement,"Anchored in the goals of the Paris Agreement, the Sustainable Development Goals, and the Ten Principles of the UN Global Compact, the African Business Leaders' Climate Statement brings the voice of the African private sector into the global conversation on sustainable development and bold climate action. The Statement includes commitments each signatory company will make in the areas of adaptation, just transition and mitigation, as well as a call to the global community to support the continent of Africa in climate action.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6098/show@2x/The_African_Business_Leaders’_Climate_Statement-Design_File_%284%29_Page_1.jpg?1667233039,/library/6098,2022-01-01,Report
Just Transition for Climate Adaptation: A Business Brief,"A just transition according to the ILO means greening the economy by simultaneously addressing the environmental, social and economic dimensions of sustainable development in a way that is as fair and inclusive as possible to everyone concerned, creating decent work opportunities and leaving no one behind. The objective of this brief is to highlight the important role of adaptation action for large multinational corporations that aim to achieve a just transition. Its focus is on how businesses can adapt to minimise climate change risks and impacts in a just and equitable manner. The brief outlines seven recommendations for businesses to advance a just transition for climate adaptation. The business brief is available in English and Spanish.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6099/show@2x/Screen_Shot_2022-11-10_at_4.13.44_PM.png?1668114949,/library/6099,2022-01-01,Report
Mapping a Maritime Just Transition for Seafarers,  The Maritime Just Transition Task Force was formed to ensure that shipping’s response to the climate emergency puts seafarers and communities at the heart of the solution. This Position Paper puts forward a 10-point action to achieve a Just Transition for seafarers.,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6100/show@2x/mapping_cover.PNG?1667939171,/library/6100,2022-01-01,Report
Water Resilience Assessment Framework - Corporate Guidance,"Building long-term water resilience is essential for a company aiming to mitigate or adapt to current and future shocks and stresses. This guidance is designed to encourage companies to engage with the water systems critical to ensuring sustained business operations over time, and to plan for future trends, possibilities, and risks. It provides a standard, step-wise approach to measuring and enhancing resilience across different industries and provides a set of ‘Water Resilience Indicators’ and a ‘Resilience Scoring Tool’ for corporates. Practical examples are provided throughout the guidance document to showcase how each step could be implemented in practice. Applicable to small, medium, and micro enterprises (SMMEs) as well as large multinational corporations with supply chains across different geographies, this detailed guidance on WRAF for corporates is a step forward for businesses to start embedding resilience into their policy and practices. ISBN: 978-1-893790-95-7",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6101/show@2x/WRAF_Corporates_Page_01.jpg?1668186072,/library/6101,2022-01-01,Report
Financing a Just Transition: A Business Brief,"This Business Brief addresses the roles of finance in advancing a just transition. It draws from recent developments to illustrate what is possible, while calling on key financial actors to develop and realize this potential, including financial institutions, the Chief Financial Officers and finance functions of corporations, investors, Chief Investment Officers, Chief Risk Officers and policymakers. The business brief is available in English and Spanish.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6102/show@2x/2022_Just_Transition_-_Brief_3_-_cover_only.jpg?1671038736,/library/6102,2022-01-01,Report
2022 UN Ocean Conference - Outcomes of the High-Level Meeting on Ocean and Climate,"On 27 June 2022 in Lisbon, Portugal, the United Nations Global Compact, the High-Level Climate Champions, the Ocean and Climate Platform, UNFCCC and the Governments of Portugal, the United Arab Emirates and the United Kingdom, convened chief executives from businesses, financial institutions, NGOs, UN organizations and government representatives for a high-level meeting on the ocean and climate. This meeting focused on the implementation of solutions at the ocean-climate nexus.  The following document provides background on the ocean-climate nexus, highlights recent developments in ocean-based climate action and outlines the main takeaways from the meeting. This document also lays the foundation for a set of short and mid-term targets, referred to here as Blue Breakthroughs, being developed with the ambition to be presented at COP 27 in Sharm El Sheikh, Egypt.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6104/show@2x/oceans-con-cover.PNG?1676496208,/library/6104,2022-01-01,Report
Race to Zero: Mobilizing Leadership for a Net Zero Economy,"Limiting average global warming to 1.5°C requires an enormous transformation of our economy and energy systems. The movement of companies, countries, cities, and investors setting ambitious net zero targets and leading this transformation is building momentum faster than ever. Though progress is being made, climate action must continue to be accelerated and accompanied by efforts to address the various environmental and societal challenges we face. In the UN Global Compact Network UK’s latest Briefing, we explain how businesses can be at the forefront of this growing movement and why it is important to continue raising ambition and take immediate action.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5836/show@2x/race_to_zero_cover.PNG?1610636550,/library/5836,2021-01-01,Meeting Report
UN Global Compact Strategy 2021–2023,A new strategy that spells out our ambition to accelerate and scale the global collective impact of business by upholding the Ten Principles and delivering the SDGs through accountable companies and ecosystems that enable change.,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5869/show@2x/strategy-cover.PNG?1611086760,/library/5869,2021-01-01,Policy Document
From Ambition to Impact: How companies are reducing emissions at scale with science-based targets (Science Based Targets initiative Annual Progress Report 2020),"This report shows that companies with science-based targets are delivering on large-scale emissions reductions. Five years on from the Paris Agreement, the Science Based Targets initiative (SBTi) analysed the emissions of a group of 338 companies whose climate targets have been approved by the SBTi as aligned with climate science and the goals of the Paris Agreement. This is the first ever study to look at how setting science-based targets correlates with corporate emissions reductions and the extent to which companies are actually delivering on those targets. Target-setting companies have successfully reduced their emissions by 25% since 2015, a difference of 302 million tonnes of CO2 equivalent, the same as the annual emissions from 78 coal-fired power plants.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5870/show@2x/sbti_cover.PNG?1611680453,/library/5870,2021-01-01,Report
Accelerating Sustainable Seafood,"Puts forward six key enablers which could be advanced by all systemic shapers to accelerate the sustainable development of the seafood industry - from unlocking sustainable finance and ratifying international conventions, to moving beyond data disclosure, rewarding progress, and incorporating wider food system dimensions into both policy and sustainability-related services.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5871/show@2x/Screen_Shot_2021-02-08_at_12.17.44.png?1612890161,/library/5871,2021-01-01,Report
Building Sustainable and Resilient Healthcare Infrastructure in BRI Countries to Accelerate the Sustainable Development Goals,"This is the first white paper produced by the recently launched UN Global Compact Action Platform on Sustainable Infrastructure for the Belt and Road Initiative to Accelerate the SDGs. It provides a starting point for strategic discussion and dialogue, and a solid foundation for action in the years ahead. I look forward to working with companies, Governments and all stakeholders to build a healthier and more sustainable future. If we succeed, generations to come will remember our current difficulties as a distant crisis that was, nevertheless, a turning point for global progress.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5878/show@2x/building_sustainable_cover.PNG?1616423246,/library/5878,2021-01-01,Policy Document
Implementing Effective Modern Slavery Grievance Mechanisms: A Guidance Note for Business,"Provides practical advice, flags key considerations, and outlines good practice steps for designing and implementing effective grievance mechanisms. The publication series supports business to know how to better hear and address instances of modern slavery.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5879/show@2x/Guidance-Note-Cover-Final-212x300.jpg?1617832336,/library/5879,2021-01-01,Report
Effective Modern Slavery Grievance Mechanisms: A Case Study Publication for Business,"Publication offers a basis for understanding the expectations set out in the UN Guiding Principles for Business and Human Rights in relation to grievance mechanisms. While implementing effective grievance mechanisms to tackle modern slavery remains challenging, businesses can utilise the case studies, that draw on types of grievance mechanisms used across a range of sectors, in the publication to design and implement their own effective grievance mechanisms.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5880/show@2x/Case-Study-Cover-Final-212x300.jpg?1617832334,/library/5880,2021-01-01,Case Example
Tackling Climate Change is the Greatest Global Health Opportunity of the Twenty-First Century - An Empowering Business Narrative and Call for Health Resilient Climate Action,"This UN Global Compact action-oriented narrative synthesizes the key insights gathered through a series of webinars organized in 2020 on the climate-nature-health nexus, in the framework of the Business Ambition for Climate and Health Action Platform. Reminding the business case for taking integrated climate and health action, it provides guidance on how companies can deliver climate and health co-benefits by pointing towards relevant action-oriented initiatives. It focuses on the five areas that were addressed by the webinar series : air pollution, nature and biodiversity, food systems, water resilience, and the future of work and just transition.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/5881/show@2x/tackling_climate_health.PNG?1618420567,/library/5881,2021-01-01,Report
